               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080307,             0.02901,                   0,            0.038021,                 0.5,            0.022586,           0.0022586,            0.087385,            0.027121,                   0,                   0,                   0,                 0.1
                   1,             0.12343,            0.031604,                   0,            0.023239,                 0.5,            0.016163,           0.0028963,            0.089907,            0.026357,                   0,          9.9505e-06,          9.9505e-06,             0.09991
                   2,             0.12756,            0.030551,                   0,            0.027566,                 0.5,            0.018978,           0.0034871,            0.089992,            0.026042,                   0,          1.9802e-05,          1.9802e-05,             0.09982
                   3,             0.12738,            0.030837,                   0,            0.031657,                 0.5,            0.019369,           0.0035762,            0.090171,            0.025715,                   0,          2.9554e-05,          2.9554e-05,             0.09973
                   4,            0.081445,            0.030176,                   0,            0.026858,                 0.5,            0.018378,           0.0033803,            0.090228,            0.025412,                   0,          3.9208e-05,          3.9208e-05,            0.099639
                   5,             0.14086,            0.027954,                   0,            0.027504,                 0.5,            0.017565,           0.0051024,            0.090393,            0.024993,                   0,          4.8762e-05,          4.8762e-05,            0.099549
                   6,             0.13127,             0.02948,                   0,            0.029105,                 0.5,              0.0167,           0.0048384,             0.09075,            0.024906,                   0,          5.8218e-05,          5.8218e-05,            0.099458
                   7,             0.13289,            0.030862,                   0,            0.028808,                 0.5,            0.017151,           0.0049726,            0.090691,             0.02455,                   0,          6.7574e-05,          6.7574e-05,            0.099368
                   8,            0.081104,            0.026706,                   0,           0.0079423,                 0.5,           0.0061152,           0.0007607,            0.090346,            0.024177,                   0,          7.6832e-05,          7.6832e-05,            0.099277
                   9,             0.11525,             0.03174,                   0,             0.01009,                 0.5,           0.0084874,          0.00084874,            0.090392,            0.023708,                   0,           8.599e-05,           8.599e-05,            0.099186
                  10,             0.11835,            0.029222,                   0,            0.007883,                 0.5,           0.0079129,          0.00079129,              0.0905,            0.023385,                   0,           9.505e-05,           9.505e-05,            0.099095
                  11,             0.12848,            0.029518,                   0,           0.0056623,                   1,           0.0057184,          0.00057184,            0.090299,             0.02301,                   0,          0.00010401,          0.00010401,            0.099004
                  12,             0.12667,            0.029951,                   0,            0.003208,                 0.5,           0.0020533,          0.00020533,            0.090001,            0.022688,                   0,          0.00011287,          0.00011287,            0.098913
                  13,             0.13169,            0.030168,                   0,            0.003024,                 0.5,           0.0019296,          0.00019296,            0.089464,            0.022407,                   0,          0.00012163,          0.00012163,            0.098822
                  14,             0.11831,            0.027384,                   0,           0.0036515,                 0.5,           0.0022449,          0.00044897,            0.088851,            0.022181,                   0,           0.0001303,           0.0001303,             0.09873
                  15,             0.11777,            0.027924,                   0,           0.0068068,                   1,           0.0071071,             0.00093,            0.088279,            0.021965,                   0,          0.00013886,          0.00013886,            0.098639
                  16,             0.12315,            0.026133,                   0,           0.0025476,                 0.5,           0.0017924,          0.00017924,            0.087206,            0.021759,                   0,          0.00014733,          0.00014733,            0.098547
                  17,             0.11731,            0.029838,                   0,            0.002421,                 0.5,           0.0018353,          0.00018353,            0.086384,            0.021591,                   0,          0.00015569,          0.00015569,            0.098456
                  18,             0.10818,            0.028808,                   0,           0.0052888,                 0.5,           0.0055125,          0.00055125,             0.08656,            0.021549,                   0,          0.00016396,          0.00016396,            0.098364
                  19,             0.11977,            0.029712,                   0,           0.0055513,                 0.5,           0.0055357,          0.00055357,            0.085633,            0.021401,                   0,          0.00017213,          0.00017213,            0.098272
                  20,            0.073964,            0.026776,                   0,           0.0065648,                 0.5,           0.0062105,          0.00062105,            0.084261,            0.021262,                   0,           0.0001802,           0.0001802,             0.09818
                  21,            0.073604,            0.028405,                   0,            0.008835,                 0.5,           0.0068202,          0.00068202,            0.083012,            0.021155,                   0,          0.00018817,          0.00018817,            0.098088
                  22,             0.11832,             0.02846,                   0,           0.0081268,                 0.5,           0.0068579,          0.00085653,            0.080458,            0.020874,                   0,          0.00019604,          0.00019604,            0.097996
                  23,             0.10352,            0.026623,                   0,           0.0018802,                 0.5,           0.0014477,          0.00043432,            0.075453,            0.020952,                   0,          0.00020381,          0.00020381,            0.097904
                  24,             0.10827,            0.027075,                   0,           0.0045034,                 0.5,           0.0028279,          0.00056558,            0.074069,             0.02095,                   0,          0.00021149,          0.00021149,            0.097811
                  25,             0.06787,            0.025228,                   0,                   0,                   0,                   0,                   0,            0.073566,            0.020853,                   0,          0.00021906,          0.00021906,            0.097719
                  26,             0.11394,              0.0257,                   0,           0.0074161,                   1,           0.0080567,            0.001654,            0.072891,            0.021159,                   0,          0.00022654,          0.00022654,            0.097627
                  27,             0.11539,              0.0269,                   0,            0.010139,                   1,            0.010311,            0.001928,            0.071465,            0.021211,                   0,          0.00023391,          0.00023391,            0.097534
                  28,             0.10344,             0.02847,                   0,           0.0064298,                 0.5,           0.0042036,          0.00042036,            0.070562,            0.021086,                   0,          0.00024119,          0.00024119,            0.097441
                  29,            0.098376,             0.02659,                   0,           0.0022468,                 0.5,           0.0017242,          0.00034484,             0.07195,            0.020287,                   0,          0.00024837,          0.00024837,            0.097348
                  30,             0.10508,            0.025894,                   0,            0.037497,                 0.5,            0.023359,           0.0043584,            0.065353,            0.020502,                   0,          0.00025545,          0.00025545,            0.097255
